,definition,word,predicted
0,"вода - Прозрачная, бесцветная жидкость, образующая ручьи, реки, озера, моря и представляющая собой химическое соединение водорода с кислородом.",вода,0
1,вода - Минеральные источники.,вода,0
2,"вода - Водная масса реки, озера, моря.",вода,0
3,вода - Водным путем.,вода,0
4,"вода - Чистота окраски, блеска, прозрачности драгоценного камня.",вода,1
5,"нос - Орган обоняния, а также часть лица, морды, расположенная надо ртом и являющаяся наружной частью органа обоняния.",нос,4
6,нос - Клюв птицы.,нос,0
7,"нос - То же, что носик (выступающая в виде трубки часть чайника, кувшина и т. п., через которую выливают жидкость).",нос,4
8,"нос - То же, что носок (передняя часть ступни, а также передний конец обуви, чулка и т. п.).",нос,2
9,"нос - Передняя часть судна, самолета и т. п.",нос,2
10,"нос - То же, что мыс.",нос,2
11,"знакомство - Отношения между людьми, знающими друг друга, связанными общением; установление, начало таких отношений.",знакомство,2
12,знакомство - Круг знакомых.,знакомство,1
13,"знакомство - Наличие знаний о чем-л., обладание сведениями о чем-л.",знакомство,1
14,"такса - Точно установленная расценка товаров или размер оплаты за тот или иной труд, услуги и т. п.",такса,1
15,такса - Небольшая гладкошерстная собака с кривыми короткими ногами и длинным туловищем.,такса,0
16,"слух - Одно из пяти внешних чувств, дающее возможность воспринимать звуки; способность слышать.",слух,2
17,"слух - Весть, известие о чем-л.",слух,1
